Date,Ordinary_Shares_Number,Share_Issued,Net_Debt,Total_Debt,Tangible_Book_Value,Invested_Capital,Working_Capital,Net_Tangible_Assets,Capital_Lease_Obligations,Common_Stock_Equity,Total_Capitalization,Total_Equity_Gross_Minority_Interest,Stockholders_Equity,Gains_Losses_Not_Affecting_Retained_Earnings,Other_Equity_Adjustments,Retained_Earnings,Capital_Stock,Common_Stock,Total_Liabilities_Net_Minority_Interest,Total_Non_Current_Liabilities_Net_Minority_Interest,Other_Non_Current_Liabilities,Tradeand_Other_Payables_Non_Current,Non_Current_Deferred_Liabilities,Non_Current_Deferred_Revenue,Non_Current_Deferred_Taxes_Liabilities,Long_Term_Debt_And_Capital_Lease_Obligation,Long_Term_Capital_Lease_Obligation,Long_Term_Debt,Current_Liabilities,Other_Current_Liabilities,Current_Deferred_Liabilities,Current_Deferred_Revenue,Current_Debt_And_Capital_Lease_Obligation,Current_Debt,Other_Current_Borrowings,Commercial_Paper,Pensionand_Other_Post_Retirement_Benefit_Plans_Current,Payables_And_Accrued_Expenses,Payables,Total_Tax_Payable,Income_Tax_Payable,Accounts_Payable,Total_Assets,Total_Non_Current_Assets,Other_Non_Current_Assets,Financial_Assets,Investments_And_Advances,Investmentin_Financial_Assets,Available_For_Sale_Securities,Long_Term_Equity_Investment,Goodwill_And_Other_Intangible_Assets,Other_Intangible_Assets,Goodwill,Net_PPE,Accumulated_Depreciation,Gross_PPE,Leases,Other_Properties,Machinery_Furniture_Equipment,Buildings_And_Improvements,Land_And_Improvements,Properties,Current_Assets,Other_Current_Assets,Hedging_Assets_Current,Inventory,Finished_Goods,Work_In_Process,Raw_Materials,Receivables,Accounts_Receivable,Allowance_For_Doubtful_Accounts_Receivable,Gross_Accounts_Receivable,Cash_Cash_Equivalents_And_Short_Term_Investments,Other_Short_Term_Investments,Cash_And_Cash_Equivalents,Cash_Equivalents,Cash_Financial
2025-06-30,7434158655.0,7434158655.0,12909000000.0,60588000000.0,201366000000.0,386630000000.0,49913000000.0,201366000000.0,17437000000.0,343479000000.0,383631000000.0,343479000000.0,343479000000.0,-3347000000.0,-3347000000.0,237731000000.0,109095000000.0,109095000000.0,275524000000.0,134306000000.0,45186000000.0,25986000000.0,5545000000.0,2710000000.0,2835000000.0,57589000000.0,17437000000.0,40152000000.0,141218000000.0,25020000000.0,64555000000.0,64555000000.0,2999000000.0,2999000000.0,2999000000.0,0.0,13709000000.0,34935000000.0,34935000000.0,7211000000.0,7211000000.0,27724000000.0,619003000000.0,427872000000.0,40565000000.0,272000000.0,15133000000.0,2460000000.0,2460000000.0,12673000000.0,142113000000.0,22604000000.0,119509000000.0,229789000000.0,-93653000000.0,323442000000.0,12117000000.0,24823000000.0,139243000000.0,137921000000.0,9338000000.0,0.0,191131000000.0,25723000000.0,10000000.0,938000000.0,,,,69905000000.0,69905000000.0,-944000000.0,70849000000.0,94555000000.0,64313000000.0,30242000000.0,18531000000.0,11711000000.0
2024-06-30,7434138859.0,7434138859.0,33315000000.0,67127000000.0,121660000000.0,320107000000.0,34448000000.0,121660000000.0,15497000000.0,268477000000.0,311165000000.0,268477000000.0,268477000000.0,-5590000000.0,-5590000000.0,173144000000.0,100923000000.0,100923000000.0,243686000000.0,118400000000.0,27064000000.0,27931000000.0,5220000000.0,2602000000.0,2618000000.0,58185000000.0,15497000000.0,42688000000.0,125286000000.0,19185000000.0,57582000000.0,57582000000.0,8942000000.0,8942000000.0,2249000000.0,6693000000.0,12564000000.0,27013000000.0,27013000000.0,5017000000.0,5017000000.0,21996000000.0,512163000000.0,352429000000.0,36460000000.0,0.0,14600000000.0,1500000000.0,1500000000.0,13100000000.0,146817000000.0,27597000000.0,119220000000.0,154552000000.0,-76421000000.0,230973000000.0,9594000000.0,18961000000.0,100312000000.0,93943000000.0,8163000000.0,0.0,159734000000.0,26021000000.0,12000000.0,1246000000.0,845000000.0,7000000.0,394000000.0,56924000000.0,56924000000.0,-830000000.0,57754000000.0,75531000000.0,57216000000.0,18315000000.0,6744000000.0,11571000000.0
2023-06-30,7432000000.0,7432000000.0,12533000000.0,59965000000.0,128971000000.0,253460000000.0,80108000000.0,128971000000.0,12728000000.0,206223000000.0,248213000000.0,206223000000.0,206223000000.0,-6343000000.0,-6343000000.0,118848000000.0,93718000000.0,93718000000.0,205753000000.0,101604000000.0,17981000000.0,25560000000.0,3345000000.0,2912000000.0,433000000.0,54718000000.0,12728000000.0,41990000000.0,104149000000.0,14745000000.0,50901000000.0,50901000000.0,5247000000.0,5247000000.0,5247000000.0,0.0,11009000000.0,22247000000.0,22247000000.0,4152000000.0,4152000000.0,18095000000.0,411976000000.0,227719000000.0,30601000000.0,0.0,9879000000.0,0.0,,9879000000.0,77252000000.0,9366000000.0,67886000000.0,109987000000.0,-68251000000.0,178238000000.0,8537000000.0,14346000000.0,81207000000.0,68465000000.0,5683000000.0,0.0,184257000000.0,21807000000.0,6000000.0,2500000000.0,1768000000.0,23000000.0,709000000.0,48688000000.0,48688000000.0,-650000000.0,49338000000.0,111256000000.0,76552000000.0,34704000000.0,26226000000.0,8478000000.0
2022-06-30,7464000000.0,7464000000.0,35850000000.0,61270000000.0,87720000000.0,216323000000.0,74602000000.0,87720000000.0,11489000000.0,166542000000.0,213574000000.0,166542000000.0,166542000000.0,-4678000000.0,-4678000000.0,84281000000.0,86939000000.0,86939000000.0,198298000000.0,103216000000.0,15526000000.0,26069000000.0,3100000000.0,2870000000.0,230000000.0,58521000000.0,11489000000.0,47032000000.0,95082000000.0,13067000000.0,45538000000.0,45538000000.0,2749000000.0,2749000000.0,,,10661000000.0,23067000000.0,23067000000.0,4067000000.0,4067000000.0,19000000000.0,364840000000.0,195156000000.0,21897000000.0,0.0,6891000000.0,0.0,,6891000000.0,78822000000.0,11298000000.0,67524000000.0,87546000000.0,-59660000000.0,147206000000.0,7819000000.0,13148000000.0,66491000000.0,55014000000.0,4734000000.0,0.0,169684000000.0,16924000000.0,8000000.0,3742000000.0,2516000000.0,82000000.0,1144000000.0,44261000000.0,44261000000.0,-633000000.0,44894000000.0,104749000000.0,90818000000.0,13931000000.0,5673000000.0,8258000000.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367000000.0,79000000.0,1190000000.0,,,,,,,,,
