Date,Tax_Effect_Of_Unusual_Items,Tax_Rate_For_Calcs,Normalized_EBITDA,Total_Unusual_Items,Total_Unusual_Items_Excluding_Goodwill,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Reconciled_Depreciation,Reconciled_Cost_Of_Revenue,EBITDA,EBIT,Net_Interest_Income,Interest_Expense,Interest_Income,Normalized_Income,Net_Income_From_Continuing_And_Discontinued_Operation,Total_Expenses,Total_Operating_Income_As_Reported,Diluted_Average_Shares,Basic_Average_Shares,Diluted_EPS,Basic_EPS,Diluted_NI_Availto_Com_Stockholders,Net_Income_Common_Stockholders,Net_Income,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Tax_Provision,Pretax_Income,Other_Income_Expense,Other_Non_Operating_Income_Expenses,Special_Income_Charges,Write_Off,Gain_On_Sale_Of_Security,Net_Non_Operating_Interest_Income_Expense,Interest_Expense_Non_Operating,Interest_Income_Non_Operating,Operating_Income,Operating_Expense,Research_And_Development,Selling_General_And_Administration,Selling_And_Marketing_Expense,General_And_Administrative_Expense,Other_Gand_A,Gross_Profit,Cost_Of_Revenue,Total_Revenue,Operating_Revenue
2026-03-31,281390000.0,0.19,48804000000.0,1481000000.0,1481000000.0,31778000000.0,10167000000.0,26828000000.0,50285000000.0,40118000000.0,-48000000.0,778000000.0,730000000.0,30578390000.0,31778000000.0,44488000000.0,38398000000.0,7445000000.0,7426000000.0,4.27,4.28,31778000000.0,31778000000.0,31778000000.0,31778000000.0,31778000000.0,7562000000.0,39340000000.0,990000000.0,-491000000.0,-37000000.0,37000000.0,1518000000.0,-48000000.0,778000000.0,730000000.0,38398000000.0,17660000000.0,8915000000.0,8745000000.0,6814000000.0,1931000000.0,1931000000.0,56058000000.0,26828000000.0,82886000000.0,82886000000.0
2025-12-31,65200000.0,0.2,57854000000.0,326000000.0,326000000.0,38458000000.0,9198000000.0,25978000000.0,58180000000.0,48982000000.0,104000000.0,736000000.0,840000000.0,38197200000.0,38458000000.0,42998000000.0,38275000000.0,7460000000.0,7431000000.0,5.16,5.18,38458000000.0,38458000000.0,38458000000.0,38458000000.0,38458000000.0,9788000000.0,48246000000.0,9867000000.0,9541000000.0,-59000000.0,59000000.0,385000000.0,104000000.0,736000000.0,840000000.0,38275000000.0,17020000000.0,8504000000.0,8516000000.0,6584000000.0,1932000000.0,1932000000.0,55295000000.0,25978000000.0,81273000000.0,81273000000.0
2025-09-30,187150000.0,0.19,47075000000.0,985000000.0,985000000.0,27747000000.0,13061000000.0,24043000000.0,48060000000.0,34999000000.0,278000000.0,698000000.0,976000000.0,26949150000.0,27747000000.0,39712000000.0,37961000000.0,7466000000.0,7433000000.0,3.72,3.73,27747000000.0,27747000000.0,27747000000.0,27747000000.0,27747000000.0,6554000000.0,34301000000.0,-3938000000.0,-4923000000.0,-14000000.0,14000000.0,999000000.0,278000000.0,698000000.0,976000000.0,37961000000.0,15669000000.0,8146000000.0,7523000000.0,5717000000.0,1806000000.0,1806000000.0,53630000000.0,24043000000.0,77673000000.0,77673000000.0
2025-06-30,495125.091979,0.165042,44431000000.0,3000000.0,3000000.0,27233000000.0,11203000000.0,24014000000.0,44434000000.0,33231000000.0,154000000.0,615000000.0,769000000.0,27230495125.09198,27233000000.0,42118000000.0,34323000000.0,7461000000.0,7432000000.0,3.65,3.66,27233000000.0,27233000000.0,27233000000.0,27233000000.0,27233000000.0,5383000000.0,32616000000.0,-1861000000.0,-1864000000.0,-45000000.0,45000000.0,48000000.0,154000000.0,615000000.0,769000000.0,34323000000.0,18104000000.0,8829000000.0,9275000000.0,7285000000.0,1990000000.0,1990000000.0,52427000000.0,24014000000.0,76441000000.0,76441000000.0
2025-03-31,69660000.0,0.18,39318000000.0,387000000.0,387000000.0,25824000000.0,7734000000.0,21919000000.0,39705000000.0,31971000000.0,3000000.0,594000000.0,597000000.0,25506660000.0,25824000000.0,38066000000.0,32000000000.0,7461000000.0,7434000000.0,3.46,3.47,25824000000.0,25824000000.0,25824000000.0,25824000000.0,25824000000.0,5553000000.0,31377000000.0,-626000000.0,-1013000000.0,-24000000.0,24000000.0,411000000.0,3000000.0,594000000.0,597000000.0,32000000000.0,16147000000.0,8198000000.0,7949000000.0,6212000000.0,1737000000.0,1737000000.0,48147000000.0,21919000000.0,70066000000.0,70066000000.0
