Date,Splits
1987-09-21 04:00:00,2.0
1990-04-16 04:00:00,2.0
1991-06-27 04:00:00,1.5
1992-06-15 04:00:00,1.5
1994-05-23 04:00:00,2.0
1996-12-09 05:00:00,2.0
1998-02-23 05:00:00,2.0
1999-03-29 05:00:00,2.0
2003-02-18 05:00:00,2.0
